TAHUN,KECAMATAN,KOMODITAS,LUAS_PANEN,PRODUKSI,PRODUKTIVITAS
"2025,SLIYEG,CABAI RAWIT,20.00,""1,515.00"",75.75"
"2025,SLIYEG,KACANG PANJANG,25.00,""3,970.00"",158.80"
"2025,SLIYEG,KETIMUN,25.00,""4,490.00"",179.60"
2025,SLIYEG,SEMANGKA,0.00,0.00,0.00
2025,SLIYEG,TOMAT,0.00,0.00,0.00
"2025,JATIBARANG,PADI,""5,976.00"",""37,924.16"",63.46"
2025,JATIBARANG,BAWANG MERAH,0.00,0.00,0.00
"2025,JATIBARANG,CABAI BESAR,0.00,""3,955.00"",0.00"
2025,JATIBARANG,CABAI RAWIT,0.14,2.00,14.29
2025,JATIBARANG,KACANG PANJANG,0.56,8.50,15.18
2025,JATIBARANG,KETIMUN,0.14,2.00,14.29
2025,JATIBARANG,SEMANGKA,0.00,0.00,0.00
2025,JATIBARANG,TOMAT,0.00,0.00,0.00
"2025,BALONGAN,PADI,""3,882.00"",""26,022.39"",67.03"
2025,BALONGAN,BAWANG MERAH,0.57,5.00,8.77
2025,BALONGAN,CABAI BESAR,0.29,0.00,0.00
2025,BALONGAN,CABAI RAWIT,0.00,0.00,0.00
2025,BALONGAN,KACANG PANJANG,0.77,24.80,32.21
2025,BALONGAN,KETIMUN,0.28,8.00,28.57
2025,BALONGAN,SEMANGKA,0.00,0.00,0.00
2025,BALONGAN,TOMAT,0.00,0.00,0.00
"2025,INDRAMAYU,PADI,""3,634.00"",""27,180.17"",74.79"
2025,INDRAMAYU,BAWANG MERAH,0.00,0.00,0.00
2025,INDRAMAYU,CABAI BESAR,0.00,0.00,0.00
2025,INDRAMAYU,CABAI RAWIT,0.70,11.00,15.71
2025,INDRAMAYU,KACANG PANJANG,0.00,0.00,0.00
2025,INDRAMAYU,KETIMUN,0.00,0.00,0.00
2025,INDRAMAYU,SEMANGKA,0.25,5.00,20.00
2025,INDRAMAYU,TOMAT,0.00,0.00,0.00
"2025,SINDANG,PADI,""4,361.00"",""31,192.40"",71.53"
2025,SINDANG,BAWANG MERAH,0.00,0.00,0.00
2025,SINDANG,CABAI BESAR,0.00,0.00,0.00
2025,SINDANG,CABAI RAWIT,0.00,0.00,0.00
2025,SINDANG,KACANG PANJANG,0.00,0.00,0.00
2025,SINDANG,KETIMUN,0.00,0.00,0.00
2025,SINDANG,SEMANGKA,0.00,0.00,0.00
2025,SINDANG,TOMAT,0.00,0.00,0.00
"2025,CANTIGI,PADI,""3,806.00"",""27,325.03"",71.79"
2025,CANTIGI,BAWANG MERAH,0.00,0.00,0.00
2025,CANTIGI,CABAI BESAR,0.00,0.00,0.00
2025,CANTIGI,CABAI RAWIT,0.04,3.08,77.00
2025,CANTIGI,KACANG PANJANG,0.00,0.00,0.00
2025,CANTIGI,KETIMUN,0.00,0.00,0.00
2025,CANTIGI,SEMANGKA,0.00,0.00,0.00
2025,CANTIGI,TOMAT,0.00,0.00,0.00
"2025,PASEKAN,PADI,""1,794.00"",""13,471.13"",75.09"
2025,PASEKAN,BAWANG MERAH,0.00,0.00,0.00
2025,PASEKAN,CABAI BESAR,2.00,0.00,0.00
2025,PASEKAN,CABAI RAWIT,2.00,78.00,39.00
2025,PASEKAN,KACANG PANJANG,0.00,0.00,0.00
